,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
C1orf159,6.45340267905252,6.93371685057282,6.27426326383125,6.27082646246235,7.2192196500551,6.20875892638249,5.89241234355376,5.73094814410019
SDF4,9.4922606732581,9.79450637802915,9.68199864257597,9.39542002306269,10.5187886472303,9.93800448025348,9.52043476464342,9.90143207632405
B3GALT6,8.60217209742269,8.62596344434964,8.58120220123622,8.94145848649068,8.43078977911885,8.00211380630175,7.9473561169535,8.58176496490357
UBE2J2,8.64317301417643,8.72175516251757,8.82715663965978,8.83010276363831,8.88136145418002,8.52831984254584,8.61025677201094,8.77876391443602
SCNN1D,5.11301854210595,4.89324720789698,3.80969656828255,5.25980145070649,4.57107261924,4.72534273874835,4.88368722587985,4.37428455588707
ACAP3,10.4739387090339,10.1161095253936,10.3431116116878,10.6495237267504,10.2988385806768,10.0449928882028,9.72413093725235,10.0645564447375
PUSL1,6.37767909532988,6.57182866583665,6.19099349824386,6.61261397824149,7.0227034193845,6.0515587491292,6.21607914767782,6.50796115882715
INTS11,8.97190910371857,8.80129862530359,8.97635744428732,9.02518078242807,9.17136720487471,8.85872399818683,8.66438208774666,9.04772251081539
CPTP,8.56851117245561,8.67746782528663,8.40026007361598,8.62200915674446,8.66012344791099,8.32577998539869,8.31039132858934,8.30754842523153
TAS1R3,2.80212931527504,3.78276411547263,3.61898757441794,2.87800466770023,4.71699352655062,4.29758093246055,4.11252661219532,3.68296508287262
DVL1,10.5578168973523,10.7054712161146,10.6803571499053,10.4624967116268,11.8273771992494,10.5879566713759,10.8560598809311,10.6775170109591
MXRA8,7.89328413531891,8.35782428134957,6.57942040644273,7.75058829193606,8.27454395357736,7.62194739927644,7.90710788911224,8.39135491700231
AURKAIP1,9.28335395759179,10.0589971916429,9.73734116144493,9.7889276645848,10.4473907957306,9.91916480476747,9.59580388573477,10.007047881705
CCNL2,8.13858145293012,8.21020098355264,8.14104047649361,8.34040094310791,8.01008319787528,8.02579002034212,8.07636492216408,8.0439864981402
MRPL20-AS1,7.56947290029492,8.08016008747597,7.60440321308759,7.78215151220068,7.91498574140321,7.25614016821565,7.49407244138925,7.60320814031611
MRPL20,8.83469286800341,9.90906084131908,9.49330215108552,9.2748683701641,9.8504787061178,9.65187095890512,9.37751468792989,9.55586726683489
LOC107984868,3.42073475057111,5.56277038098053,3.61898757441794,3.16013903826645,4.12474427175649,3.11033118957663,5.51788282814967,4.75785918108077
ANKRD65,7.62510949715193,7.99249884691571,5.35531263270715,8.20722317984008,7.33677703984018,7.82990646535192,7.76120169594312,7.61487735386843
ANKRD65-AS1,3.082083253248,4.63988963017841,1.45226099346152,3.59870130167176,2.26153298079426,3.68682810827298,3.19360770537921,3.8502612636747
TMEM88B,4.59406644779961,6.8955616127011,4.61122759987356,4.07709916077185,2.26153298079426,3.11033118957663,4.11252661219532,3.49369289385452
VWA1,8.60494204271421,10.3332700310314,8.42961758304336,7.46963628372097,9.52844707547067,9.65339170058469,8.68832887322473,9.25953970468839
ATAD3C,4.06035561315937,4.81363791756855,4.50491080119773,4.07709916077185,5.57909229367096,2.96113895375686,4.50656126841671,3.27578542634942
ATAD3B,6.01080428307307,5.74547911016788,6.00848115313149,6.31465429172162,6.67525409546041,5.89581628746393,5.07021064271533,5.96777116468292
ATAD3A,7.83313209030303,7.65837871839897,7.60440321308759,7.92095077481806,7.47654642703404,7.4080002033224,6.92927303111154,7.85520001402421
TMEM240,7.58077319145458,6.98912187750734,7.23196457265098,7.94903244405141,7.23141592517886,7.27996345895554,6.92927303111154,7.23100935393961
SSU72,10.0221588960666,10.3314847972808,10.4210049118047,10.5088264331374,11.0871572467256,10.3545452299457,10.6099949312345,10.5366199853647
FNDC10,7.92022273365327,8.38561914629365,8.17610675121762,8.30824122803839,7.81317464869591,8.14733163594002,8.19477846308623,7.89880882550639
LOC105378586,4.40358011326704,4.63988963017841,4.26542479596202,4.9983182084907,3.63052447872762,4.47317504101489,4.41767696472821,4.06964344136764
MIB2,9.72650023495314,9.8702389890036,9.68808499766467,9.88411854057684,9.57943181830165,9.98102994431958,9.64557955701764,10.2377555954353
MMP23B,3.85230401756259,4.72937782605222,3.80969656828255,4.20681111533686,4.57107261924,4.23395596330897,4.22157392165191,4.48015376544255
